Instituição(IES);Sigla;Categoria Administrativa;Código Curso;Nome do Curso;Modalidade;CC;Data início funcionamento;Data Ato de Criação;Situação
FACULDADE VISCONDE DE CAIRÚ;FAVIC;Privada sem fins lucrativos;1158385;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;4;27/08/2012;20/04/2012;Em Atividade
FACULDADE VISCONDE DE CAIRÚ;FAVIC;Privada sem fins lucrativos;1507854;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;4;Não iniciado;10/09/2021;Em Atividade
CENTRO UNIVERSIÁRIO UNIFTC;-;Privada com fins lucrativos;1280949;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;-;01/07/2015;01/06/2015;Extinto
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIASSELVI;Privada com fins lucrativos;1266797;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;4;17/01/2014;16/10/2013;Em Atividade
CENTRO UNIVERSITÁRIO UNIDOM - BOSCO;UNIDOM - BOSCO;Privada com fins lucrativos;1487590;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;01/08/2019;04/07/2019;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1315315;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;4;02/02/2015;19/06/2014;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA;-;Privada com fins lucrativos;1364620;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;4;02/02/2016;16/12/2015;Em Atividade
CENTRO UNIVERSITÁRIO DO PLANALTO DE ARAXÁ;UNIARAXÁ;Privada sem fins lucrativos;1445616;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;19/05/2018;10/05/2018;Em Atividade
CENTRO UNIVERSITÁRIO AGES;UniAGES;Privada com fins lucrativos;1569010;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;-;29/03/2021;15/03/2021;Em Atividade
CENTRO UNIVERSITÁRIO AGES;UniAGES;Privada com fins lucrativos;1571114;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;12/04/2021;06/04/2021;Em Atividade
Centro Universitário União das Américas Descomplica;UNIAMÉRICA;Privada com fins lucrativos;1483784;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;02/03/2020;03/05/2019;Em Atividade
CENTRO UNIVERSITÁRIO NOBRE DE FEIRA DE SANTANA;-;Privada com fins lucrativos;1596557;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;-;13/12/2021;14/10/2021;Em Atividade
Centro Universitário Favip Wyden;UniFavip Wyden;Privada com fins lucrativos;1468653;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;5;04/03/2019;30/01/2019;Em Atividade
FACULDADE AIEC;AIEC / FAAB;Privada com fins lucrativos;1153833;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;01/07/2014;08/11/2013;Em Atividade
FACULDADE DO SUL DA BAHIA;FASB;Privada sem fins lucrativos;72607;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;3;16/08/2004;07/07/2004;Em Atividade
Centro Universitário UNIBTA;-;Privada com fins lucrativos;1514068;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;01/10/2019;03/08/2018;Em Atividade
CENTRO UNIVERSITÁRIO SANTA CRUZ DE CURITIBA;UNI SANTA CRUZ;Privada sem fins lucrativos;1603225;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;21/03/2022;21/03/2022;Em Atividade
Centro Universitário de Excelência Eniac;ENIAC;Privada com fins lucrativos;1308555;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;4;03/03/2016;02/03/2016;Em Atividade
Centro Universitário FG;UNIFG;Privada com fins lucrativos;1489887;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;-;27/01/2020;26/08/2019;Em Atividade
FACULDADE UNIME DE CIÊNCIAS EXATAS E TECNOLÓGICAS;FCT;Privada com fins lucrativos;122858;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;-;10/08/2009;05/08/2009;Extinto
Centro Universitário de Ciências e Empreendedorismo;UNIFACEMP;Privada com fins lucrativos;1164214;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;4;28/12/2012;28/12/2012;Em Atividade
Centro Universitário de Ciências e Empreendedorismo;UNIFACEMP;Privada com fins lucrativos;1599235;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;Não iniciado;29/12/2021;Em Atividade
CENTRO UNIVERSITÁRIO UNIRB;UNIRB;Privada com fins lucrativos;109796;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;4;04/08/2008;29/02/2008;Em Atividade
CENTRO UNIVERSITÁRIO UNIRB;UNIRB;Privada com fins lucrativos;1484259;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;23/05/2019;22/05/2019;Em Atividade
CENTRO UNIVERSITÁRIO DE SALVADOR;UNICEUSA;Privada com fins lucrativos;114682;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;-;13/02/2003;05/04/2004;Extinto
FACULDADE PITÁGORAS DE TEIXEIRA DE FREITAS;PIT TEIXEIRA;Privada com fins lucrativos;1300036;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;-;13/02/2017;30/11/2015;Extinto
FACULDADE REGIONAL DE FILOSOFIA, CIÊNCIAS E LETRAS DE CANDEIAS;FAC;Privada com fins lucrativos;85610;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;-;01/08/2005;06/06/2005;Extinto
FACULDADE SÃO SALVADOR;FSS;Privada com fins lucrativos;1305137;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;4;27/11/2015;30/11/2015;Em Atividade
Faculdade de Ciências Educacionais de Capim Grosso;FCG;Privada com fins lucrativos;1573117;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;4;10/06/2022;02/05/2022;Em Atividade
CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;1313397;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;4;23/12/2013;23/12/2013;Em Atividade
FACULDADE SÃO FRANCISCO DE ASSIS;FSFA;Privada com fins lucrativos;1410750;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;4;09/08/2021;07/06/2021;Em Atividade
FACULDADE SANTO ANTONIO;FSA;Privada com fins lucrativos;1332852;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;4;05/11/2018;11/12/2017;Em Atividade
CENTRO UNIVERSITÁRIO DOM PEDRO II;UNIDOMPEDRO;Privada com fins lucrativos;1388299;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;05/02/2018;31/10/2017;Em Atividade
CENTRO UNIVERSITÁRIO CIDADE VERDE;UniCV;Privada com fins lucrativos;1323837;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;3;02/10/2017;01/06/2017;Em Atividade
CENTRO UNIVERSITÁRIO FACVEST;UNIFACVEST;Privada com fins lucrativos;1599708;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;Não iniciado;01/02/2022;Em Atividade
Centro Universitário UNIRB - Alagoinhas;-;Privada com fins lucrativos;1150419;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;-;20/03/2013;18/03/2013;Extinto
Faculdade Unyleya;-;Privada com fins lucrativos;1390492;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;01/03/2022;26/10/2021;Em Atividade
CENTRO UNIVERSITÁRIO SENAI CIMATEC;SENAI CIMATEC;Privada sem fins lucrativos;5001178;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;4;04/02/2013;26/09/2012;Em Extinção
CENTRO UNIVERSITÁRIO SENAC;SENACSP;Privada sem fins lucrativos;1524051;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;03/08/2020;30/03/2020;Em Atividade
FACULDADE DE TECNOLOGIA SENAI CETIND;-;Privada sem fins lucrativos;1156227;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;-;Não iniciado;30/07/2012;Extinto
CENTRO UNIVERSITÁRIO UNIFATECIE;UNIFATECIE;Privada com fins lucrativos;1538612;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;-;03/07/2020;03/07/2020;Em Atividade
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO;IFBAIANO;Pública Federal;1103633;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;3;15/03/2010;15/07/2009;Em Atividade
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO;IFBAIANO;Pública Federal;1163800;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;4;12/03/2012;04/10/2013;Em Atividade
FACULDADE DE GESTAO E NEGOCIOS DE SALVADOR;FGN;Privada com fins lucrativos;1349410;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;Presencial;3;19/02/2018;28/09/2017;Em Atividade
Faculdade Metropolitana do Estado de São Paulo;FAMEESP;Privada com fins lucrativos;1545518;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;A Distância;4;07/03/2022;19/11/2021;Em Atividade
