Instituição(IES);Sigla;Categoria Administrativa;Código Curso;Nome do Curso;Modalidade;CC;Data início funcionamento;Data Ato de Criação;Situação
UNIVERSIDADE CATÓLICA DOM BOSCO;UCDB;Privada sem fins lucrativos;1445742;GESTÃO DE SERVIÇOS JURÍDICOS E NOTARIAIS;A Distância;-;31/01/2018;30/11/2017;Em Atividade
UNIVERSIDADE PARANAENSE;UNIPAR;Privada sem fins lucrativos;1517067;GESTÃO DE SERVIÇOS JURÍDICOS E NOTARIAIS;A Distância;-;17/02/2020;21/11/2019;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1315358;GESTÃO DE SERVIÇOS JURÍDICOS E NOTARIAIS;A Distância;5;18/08/2014;19/06/2014;Em Atividade
CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;1404132;GESTÃO DE SERVIÇOS JURÍDICOS E NOTARIAIS;A Distância;-;01/02/2018;24/04/2017;Em Atividade
UNIVERSIDADE PAULISTA;UNIP;Privada com fins lucrativos;1447552;GESTÃO DE SERVIÇOS JURÍDICOS, NOTARIAIS E DE REGISTRO;A Distância;-;01/02/2018;16/07/2018;Em Atividade
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIASSELVI;Privada com fins lucrativos;1483725;GESTÃO DE SERVIÇOS JURÍDICOS, NOTARIAIS E DE REGISTRO;A Distância;-;22/06/2019;19/03/2019;Em Atividade
CENTRO UNIVERSITÁRIO DE SALVADOR;UNICEUSA;Privada com fins lucrativos;1517955;GESTÃO DE SERVIÇOS JURÍDICOS, NOTARIAIS E DE REGISTRO;Presencial;-;Não iniciado;31/01/2020;Extinto
CENTRO UNIVERSITÁRIO UNIFATECIE;UNIFATECIE;Privada com fins lucrativos;1550625;GESTÃO DE SERVIÇOS JURÍDICOS, NOTARIAIS E DE REGISTRO;A Distância;-;02/10/2020;02/10/2020;Em Atividade
UNIVERSIDADE PAULISTA;UNIP;Privada com fins lucrativos;100320;GESTÃO DE SISTEMAS DE INFORMAÇÃO;A Distância;-;01/04/2006;10/11/2004;Extinto
Claretiano - Centro Universitário;CLARETIANOBT;Privada sem fins lucrativos;1300416;GESTÃO DESPORTIVA E DE LAZER;A Distância;-;Não iniciado;22/07/2014;Extinto
UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;Privada com fins lucrativos;1576118;GESTÃO DESPORTIVA E DE LAZER;A Distância;-;02/08/2021;07/06/2021;Em Atividade
UNIVERSIDADE CRUZEIRO DO SUL;UNICSUL;Privada com fins lucrativos;1427660;GESTÃO DESPORTIVA E DE LAZER;A Distância;4;01/02/2018;13/12/2017;Em Atividade
UNIVERSIDADE BRASIL;UB;Privada sem fins lucrativos;1425393;GESTÃO DESPORTIVA E DE LAZER;A Distância;-;Não iniciado;01/11/2017;Extinto
UNIVERSIDADE CIDADE DE SÃO PAULO;UNICID;Privada com fins lucrativos;1427617;GESTÃO DESPORTIVA E DE LAZER;A Distância;4;01/02/2018;15/12/2017;Em Atividade
UNIVERSIDADE DE FRANCA;UNIFRAN;Privada com fins lucrativos;1427623;GESTÃO DESPORTIVA E DE LAZER;A Distância;5;01/02/2018;27/11/2017;Em Atividade
UNIVERSIDADE SALGADO DE OLIVEIRA;UNIVERSO;Privada sem fins lucrativos;109084;GESTÃO DESPORTIVA E DE LAZER;Presencial;-;02/02/2011;03/05/2001;Em Atividade
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1139776;GESTÃO DESPORTIVA E DE LAZER;Presencial;-;07/02/2011;17/12/2010;Extinto
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1161853;GESTÃO DESPORTIVA E DE LAZER;Presencial;-;Não iniciado;09/05/2011;Extinto
CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;ESTÁCIO RIBEIRÃO PRE;Privada com fins lucrativos;1577925;GESTÃO DESPORTIVA E DE LAZER;A Distância;-;09/08/2021;06/08/2021;Em Atividade
CENTRO UNIVERSITÁRIO UNIDOM - BOSCO;UNIDOM - BOSCO;Privada com fins lucrativos;1516565;GESTÃO DESPORTIVA E DE LAZER;A Distância;-;02/03/2020;18/09/2019;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA;-;Privada com fins lucrativos;1578988;GESTÃO DESPORTIVA E DE LAZER;A Distância;-;13/08/2021;12/08/2021;Em Atividade
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIASSELVI;Privada com fins lucrativos;1572971;GESTÃO DE STARTUPS;A Distância;-;22/03/2021;22/03/2021;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1484111;GESTÃO DE STARTUPS E EMPREENDEDORISMO DIGITAL;A Distância;-;03/04/2019;01/04/2019;Em Atividade
UNIVERSIDADE SALGADO DE OLIVEIRA;UNIVERSO;Privada sem fins lucrativos;109092;GESTÃO DE TELECOMUNICAÇÕES;Presencial;-;02/02/2011;03/05/2001;Em Atividade
UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;Privada com fins lucrativos;1182939;GESTÃO DE TURISMO;A Distância;5;13/02/2012;09/02/2012;Em Atividade
UNIVERSIDADE METODISTA DE SÃO PAULO;UMESP;Privada sem fins lucrativos;106790;GESTÃO DE TURISMO;A Distância;-;06/12/2007;25/09/2007;Extinto
CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI;-;Privada com fins lucrativos;1541395;GESTÃO DE TURISMO;A Distância;-;10/08/2020;03/08/2020;Em Atividade
Universidade Pitágoras Unopar Anhanguera;-;Privada com fins lucrativos;1455358;GESTÃO DE TURISMO;A Distância;4;11/02/2019;26/09/2018;Em Atividade
UNIVERSIDADE PAULISTA;UNIP;Privada com fins lucrativos;1484726;GESTÃO DE TURISMO;A Distância;-;01/08/2019;11/04/2019;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;1485391;GESTÃO DE TURISMO;A Distância;-;18/02/2019;07/12/2018;Em Atividade
UNIVERSIDADE CATÓLICA DE BRASÍLIA;UCB;Privada sem fins lucrativos;106266;GESTÃO DE TURISMO;A Distância;-;24/02/2007;28/11/2006;Extinto
UNIVERSIDADE SALGADO DE OLIVEIRA;UNIVERSO;Privada sem fins lucrativos;109096;GESTÃO DE TURISMO;Presencial;-;02/02/2011;03/05/2001;Em Atividade
CENTRO UNIVERSITÁRIO DA GRANDE DOURADOS;UNIGRAN;Privada sem fins lucrativos;1400729;GESTÃO DE TURISMO;A Distância;4;01/12/2017;01/06/2015;Em Atividade
UNIVERSIDADE METROPOLITANA DE SANTOS;UNIMES;Privada sem fins lucrativos;1436080;GESTÃO DE TURISMO;A Distância;-;Não iniciado;06/06/2017;Em Extinção
UNIVERSIDADE METROPOLITANA DE SANTOS;UNIMES;Privada sem fins lucrativos;1598070;GESTÃO DE TURISMO;A Distância;-;Não iniciado;19/11/2021;Em Atividade
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1343937;GESTÃO DE TURISMO;Presencial;-;Não iniciado;18/12/2015;Extinto
CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;ESTÁCIO RIBEIRÃO PRE;Privada com fins lucrativos;1330111;GESTÃO DE TURISMO;A Distância;4;27/02/2015;27/02/2015;Em Atividade
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIASSELVI;Privada com fins lucrativos;1170541;GESTÃO DE TURISMO;A Distância;4;13/12/2010;23/07/2010;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1204009;GESTÃO DE TURISMO;A Distância;4;04/02/2013;12/07/2012;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA;-;Privada com fins lucrativos;1379281;GESTÃO DE TURISMO;A Distância;-;05/03/2018;16/12/2015;Em Atividade
CENTRO UNIVERSITÁRIO AGES;UniAGES;Privada com fins lucrativos;1596707;GESTÃO DE TURISMO;A Distância;-;18/11/2921;19/11/2021;Em Atividade
INSTITUTO SALVADOR DE ENSINO E CULTURA;ISEC;Privada com fins lucrativos;104174;GESTÃO DE TURISMO;Presencial;-;10/08/2009;28/05/2007;Extinto
FACULDADE SÃO SALVADOR;FSS;Privada com fins lucrativos;72617;GESTÃO DE TURISMO;Presencial;4;09/08/2004;07/07/2004;Em Atividade
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO;IFBAIANO;Pública Federal;1269985;GESTÃO DE TURISMO;Presencial;4;17/02/2014;26/10/2011;Em Atividade
Faculdade Multivix Serra;MULTIVIX SERRA;Privada com fins lucrativos;1498090;GESTÃO DE VENDAS;A Distância;5;Não iniciado;19/10/2021;Em Atividade
Claretiano - Centro Universitário;CLARETIANOBT;Privada sem fins lucrativos;123474;GESTÃO DO AGRONEGÓCIO;A Distância;-;01/02/2010;11/08/2009;Em Atividade
UNIVERSIDADE DE UBERABA;UNIUBE;Privada sem fins lucrativos;99872;GESTÃO DO AGRONEGÓCIO;A Distância;4;01/02/2007;26/06/2006;Em Atividade
UNIVERSIDADE CRUZEIRO DO SUL;UNICSUL;Privada com fins lucrativos;1398074;GESTÃO DO AGRONEGÓCIO;A Distância;5;01/02/2017;14/12/2016;Em Atividade
CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI;-;Privada com fins lucrativos;1562836;GESTÃO DO AGRONEGÓCIO;A Distância;-;15/02/2021;04/02/2021;Em Atividade
Universidade Pitágoras Unopar Anhanguera;-;Privada com fins lucrativos;1420130;GESTÃO DO AGRONEGÓCIO;A Distância;-;05/02/2018;01/08/2017;Extinto
Universidade Pitágoras Unopar Anhanguera;-;Privada com fins lucrativos;1576076;GESTÃO DO AGRONEGÓCIO;A Distância;-;02/08/2021;07/05/2021;Em Atividade
UNIVERSIDADE PAULISTA;UNIP;Privada com fins lucrativos;1286756;GESTÃO DO AGRONEGÓCIO;A Distância;4;07/01/2014;19/09/2013;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;1484568;GESTÃO DO AGRONEGÓCIO;A Distância;-;18/02/2019;07/12/2018;Em Atividade
UNIVERSIDADE CIDADE DE SÃO PAULO;UNICID;Privada com fins lucrativos;1398904;GESTÃO DO AGRONEGÓCIO;A Distância;5;01/02/2017;19/10/2016;Em Atividade
UNIVERSIDADE DE MARÍLIA;UNIMAR;Privada com fins lucrativos;1484080;GESTÃO DO AGRONEGÓCIO;A Distância;-;29/07/2019;13/05/2019;Em Atividade
UNIVERSIDADE PARANAENSE;UNIPAR;Privada sem fins lucrativos;1427779;GESTÃO DO AGRONEGÓCIO;A Distância;-;19/02/2018;13/12/2017;Em Atividade
UNIVERSIDADE DE FRANCA;UNIFRAN;Privada com fins lucrativos;1398202;GESTÃO DO AGRONEGÓCIO;A Distância;4;01/02/2017;17/10/2016;Em Atividade
UNIVERSIDADE DE TAUBATÉ;UNITAU;Pública Municipal;1363717;GESTÃO DO AGRONEGÓCIO;A Distância;-;29/02/2016;24/09/2013;Em Atividade
CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB;IESB;Privada com fins lucrativos;1474644;GESTÃO DO AGRONEGÓCIO;A Distância;-;16/02/2019;04/02/2019;Em Atividade
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1422279;GESTÃO DO AGRONEGÓCIO;Presencial;-;Não iniciado;19/09/2017;Extinto
CENTRO UNIVERSITÁRIO INGÁ;UNINGÁ;Privada com fins lucrativos;1427725;GESTÃO DO AGRONEGÓCIO;A Distância;5;03/02/2018;23/10/2017;Em Atividade
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIASSELVI;Privada com fins lucrativos;1363691;GESTÃO DO AGRONEGÓCIO;A Distância;5;18/07/2016;01/02/2016;Em Atividade
CENTRO UNIVERSITÁRIO DO PLANALTO DE ARAXÁ;UNIARAXÁ;Privada sem fins lucrativos;1536041;GESTÃO DO AGRONEGÓCIO;A Distância;-;04/05/2020;04/05/2020;Em Atividade
CENTRO UNIVERSITÁRIO AGES;UniAGES;Privada com fins lucrativos;1596666;GESTÃO DO AGRONEGÓCIO;A Distância;-;19/11/2021;19/11/2021;Em Atividade
CENTRO UNIVERSITÁRIO NOBRE DE FEIRA DE SANTANA;-;Privada com fins lucrativos;1596559;GESTÃO DO AGRONEGÓCIO;Presencial;-;13/12/2021;14/10/2021;Em Atividade
CENTRO UNIVERSITÁRIO MAUÁ DE BRASÍLIA;UNIMAUÁ;Privada com fins lucrativos;1596340;GESTÃO DO AGRONEGÓCIO;A Distância;-;13/12/2021;25/11/2021;Em Atividade
CENTRO UNIVERSITÁRIO UNIFATECIE;UNIFATECIE;Privada com fins lucrativos;1556812;GESTÃO DO AGRONEGÓCIO;A Distância;-;22/02/2021;01/12/2020;Em Atividade
Faculdade Metropolitana do Estado de São Paulo;FAMEESP;Privada com fins lucrativos;1545533;GESTÃO DO AGRONEGÓCIO;A Distância;5;07/03/2022;09/11/2021;Em Atividade
Faculdade AGES de Senhor do Bonfim;Faculdade AGES;Privada com fins lucrativos;1501445;GESTÃO DO AGRONEGÓCIO;Presencial;5;Não iniciado;06/10/2021;Em Atividade
Faculdade AGES de Jacobina;Faculdade AGES;Privada com fins lucrativos;1502342;GESTÃO DO AGRONEGÓCIO;Presencial;4;Não iniciado;03/12/2021;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1484112;GESTÃO DO E-COMMERCE E SISTEMAS LOGÍSTICOS;A Distância;5;03/04/2019;01/04/2019;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1484110;GESTÃO DO TRÂNSITO E MOBILIDADE URBANA;A Distância;-;03/04/2019;01/04/2019;Em Atividade
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIASSELVI;Privada com fins lucrativos;1385315;GESTÃO E EMPREENDEDORISMO;A Distância;5;18/07/2016;01/02/2016;Em Atividade
UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;Privada com fins lucrativos;1602654;GESTÃO EM POSTOS DE COMBUSTÍVEIS;A Distância;-;Não iniciado;28/04/2022;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;ESTÁCIO RIBEIRÃO PRE;Privada com fins lucrativos;1602588;GESTÃO EM POSTOS DE COMBUSTÍVEIS;A Distância;-;Não iniciado;26/04/2022;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA;-;Privada com fins lucrativos;1602627;GESTÃO EM POSTOS DE COMBUSTÍVEIS;A Distância;-;Não iniciado;26/04/2022;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE BRASÍLIA - ESTÁCIO BRASÍLIA;ESTÁCIO BRASÍLIA;Privada com fins lucrativos;1602592;GESTÃO EM POSTOS DE COMBUSTÍVEIS;A Distância;-;Não iniciado;26/04/2022;Em Atividade
FACULDADE REGIONAL DE FILOSOFIA, CIÊNCIAS E LETRAS DE CANDEIAS;FAC;Privada com fins lucrativos;85608;GESTÃO EMPREENDEDORA;Presencial;-;08/06/2005;06/06/2005;Extinto
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1458420;GESTÃO EMPREENDEDORA DE SERVIÇOS;A Distância;5;01/04/2019;12/12/2018;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1427329;GESTÃO EM VIGILÂNCIA EM SAÚDE;A Distância;-;19/02/2018;20/10/2017;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1477685;GESTÃO ESTRATÉGICA EMPRESARIAL;A Distância;5;29/03/2019;25/03/2019;Em Atividade
Claretiano - Centro Universitário;CLARETIANOBT;Privada sem fins lucrativos;89291;GESTÃO FINANCEIRA;A Distância;-;01/02/2006;30/08/2005;Em Atividade
UNIVERSIDADE DE UBERABA;UNIUBE;Privada sem fins lucrativos;123799;GESTÃO FINANCEIRA;A Distância;5;12/08/2008;19/12/2007;Em Atividade
UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;Privada com fins lucrativos;1174688;GESTÃO FINANCEIRA;A Distância;4;01/02/2011;28/10/2011;Em Atividade
UNIVERSIDADE CRUZEIRO DO SUL;UNICSUL;Privada com fins lucrativos;1258533;GESTÃO FINANCEIRA;A Distância;-;04/02/2013;19/12/2012;Em Atividade
CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI;-;Privada com fins lucrativos;1519055;GESTÃO FINANCEIRA;A Distância;-;06/04/2020;21/02/2020;Em Atividade
UNIVERSIDADE DO OESTE PAULISTA;UNOESTE;Privada sem fins lucrativos;1354131;GESTÃO FINANCEIRA;A Distância;4;23/02/2018;31/10/2017;Em Atividade
Universidade Pitágoras Unopar Anhanguera;-;Privada com fins lucrativos;1268059;GESTÃO FINANCEIRA;A Distância;5;17/02/2014;14/10/2013;Em Atividade
UNIVERSIDADE BRASIL;UB;Privada sem fins lucrativos;1576231;GESTÃO FINANCEIRA;A Distância;-;Não iniciado;24/06/2021;Em Atividade
UNIVERSIDADE PAULISTA;UNIP;Privada com fins lucrativos;120717;GESTÃO FINANCEIRA;A Distância;-;18/02/2008;10/11/2004;Em Atividade
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;PUC MINAS;Privada sem fins lucrativos;1550716;GESTÃO FINANCEIRA;A Distância;-;08/03/2021;19/11/2020;Em Atividade
UNIVERSIDADE SANTO AMARO;UNISA;Privada sem fins lucrativos;110826;GESTÃO FINANCEIRA;A Distância;5;11/02/2008;31/01/2008;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;1181334;GESTÃO FINANCEIRA;A Distância;3;30/07/2012;-;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;1385787;GESTÃO FINANCEIRA;Presencial;4;15/02/2017;23/09/2016;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;1520580;GESTÃO FINANCEIRA;Presencial;-;17/02/2020;05/02/2020;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;1520773;GESTÃO FINANCEIRA;Presencial;-;10/02/2020;05/02/2020;Em Atividade
UNIVERSIDADE CATÓLICA DOM BOSCO;UCDB;Privada sem fins lucrativos;115954;GESTÃO FINANCEIRA;A Distância;4;21/07/2008;26/05/2008;Em Atividade
Centro Universitário Ruy Barbosa Wyden;UniRuy Wyden;Privada com fins lucrativos;1300424;GESTÃO FINANCEIRA;Presencial;4;04/12/2015;30/11/2015;Em Atividade
Centro Universitário Ruy Barbosa Wyden;UniRuy Wyden;Privada com fins lucrativos;1330377;GESTÃO FINANCEIRA;Presencial;-;02/12/2016;02/12/2016;Extinto
UNIVERSIDADE TIRADENTES;UNIT;Privada com fins lucrativos;1429876;GESTÃO FINANCEIRA;A Distância;5;05/02/2018;05/02/2018;Em Atividade
UNIVERSIDADE CATÓLICA DE BRASÍLIA;UCB;Privada sem fins lucrativos;106257;GESTÃO FINANCEIRA;A Distância;-;24/02/2007;28/11/2006;Em Atividade
UNIVERSIDADE CIDADE DE SÃO PAULO;UNICID;Privada com fins lucrativos;103336;GESTÃO FINANCEIRA;A Distância;4;15/06/2007;02/04/2007;Em Atividade
UNIVERSIDADE DE MARÍLIA;UNIMAR;Privada com fins lucrativos;1484084;GESTÃO FINANCEIRA;A Distância;-;29/07/2019;13/05/2019;Em Atividade
UNIVERSIDADE PARANAENSE;UNIPAR;Privada sem fins lucrativos;1286544;GESTÃO FINANCEIRA;A Distância;4;17/02/2014;29/05/2013;Em Atividade
UNIVERSIDADE LUTERANA DO BRASIL;ULBRA;Privada sem fins lucrativos;99490;GESTÃO FINANCEIRA;A Distância;4;01/11/2005;07/01/2005;Em Atividade
UNIVERSIDADE DO SUL DE SANTA CATARINA;UNISUL;Privada sem fins lucrativos;107322;GESTÃO FINANCEIRA;A Distância;-;05/02/2007;24/02/2003;Em Atividade
UNIVERSIDADE DE FRANCA;UNIFRAN;Privada com fins lucrativos;1132362;GESTÃO FINANCEIRA;A Distância;4;07/02/2011;02/09/2010;Em Atividade
Centro Universitário Anhanguera Pitágoras Unopar de Niterói;UNIAN-RJ;Privada com fins lucrativos;1563011;GESTÃO FINANCEIRA;A Distância;-;08/02/2021;29/01/2021;Em Atividade
UNIVERSIDADE CATÓLICA DO SALVADOR;UCSAL;Privada sem fins lucrativos;1517267;GESTÃO FINANCEIRA;A Distância;-;10/02/2020;11/12/2019;Em Atividade
CENTRO UNIVERSITÁRIO CENECISTA DE OSÓRIO;UNICNEC;Privada sem fins lucrativos;1420090;GESTÃO FINANCEIRA;A Distância;5;19/02/2018;05/10/2017;Em Atividade
UNIVERSIDADE LA SALLE;UNILASALLE;Privada sem fins lucrativos;1427357;GESTÃO FINANCEIRA;A Distância;-;01/03/2018;12/05/2017;Em Atividade
UNIVERSIDADE SALGADO DE OLIVEIRA;UNIVERSO;Privada sem fins lucrativos;1204346;GESTÃO FINANCEIRA;A Distância;-;01/02/2018;04/02/2013;Em Atividade
UNIVERSIDADE DE TAUBATÉ;UNITAU;Pública Municipal;1425262;GESTÃO FINANCEIRA;A Distância;-;01/02/2018;04/07/2017;Em Atividade
UNIVERSIDADE ANHANGUERA;UNIDERP;Privada com fins lucrativos;122666;GESTÃO FINANCEIRA;A Distância;5;09/02/2009;02/09/2008;Em Atividade
UNIVERSIDADE SANTA CECÍLIA;UNISANTA;Privada sem fins lucrativos;1293150;GESTÃO FINANCEIRA;A Distância;4;27/01/2014;30/11/2012;Em Atividade
UNIVERSIDADE METROPOLITANA DE SANTOS;UNIMES;Privada sem fins lucrativos;1596492;GESTÃO FINANCEIRA;A Distância;-;Não iniciado;15/10/2021;Em Atividade
UNIVERSIDADE DO VALE DO TAQUARI;UNIVATES;Privada sem fins lucrativos;1419761;GESTÃO FINANCEIRA;A Distância;5;09/03/2018;19/10/2017;Em Atividade
Centro Universitário Maurício de Nassau de Salvador;Uninassau Salvador;Privada sem fins lucrativos;1139275;GESTÃO FINANCEIRA;Presencial;-;03/03/2015;21/03/2011;Extinto
Centro Universitário Estácio da Bahia;Estácio Bahia;Privada com fins lucrativos;107514;GESTÃO FINANCEIRA;Presencial;-;22/02/2007;02/08/2007;Extinto
Centro Universitário Estácio da Bahia;Estácio Bahia;Privada com fins lucrativos;1139930;GESTÃO FINANCEIRA;Presencial;-;22/02/2009;21/12/2007;Extinto
CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB;IESB;Privada com fins lucrativos;1304743;GESTÃO FINANCEIRA;A Distância;5;28/07/2014;02/06/2014;Em Atividade
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;102294;GESTÃO FINANCEIRA;Presencial;-;28/01/2008;13/04/2007;Extinto
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1139904;GESTÃO FINANCEIRA;Presencial;4;22/02/2010;01/02/2010;Em Atividade
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1140203;GESTÃO FINANCEIRA;A Distância;4;07/02/2011;28/10/2010;Em Atividade
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1161844;GESTÃO FINANCEIRA;Presencial;-;Não iniciado;09/05/2011;Extinto
UNIVERSIDADE CESUMAR;UNICESUMAR;Privada com fins lucrativos;99010;GESTÃO FINANCEIRA;A Distância;-;27/10/2006;14/08/2006;Em Atividade
CENTRO UNIVERSITÁRIO FAEL;UNIFAEL;Privada com fins lucrativos;1304602;GESTÃO FINANCEIRA;A Distância;4;01/03/2016;08/12/2015;Em Atividade
CENTRO UNIVERSITÁRIO SÃO FRANCISCO DE BARREIRAS;-;Privada sem fins lucrativos;1177691;GESTÃO FINANCEIRA;Presencial;-;14/02/2013;08/10/2012;Extinto
CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;ESTÁCIO RIBEIRÃO PRE;Privada com fins lucrativos;1170119;GESTÃO FINANCEIRA;A Distância;3;16/04/2011;14/03/2011;Em Atividade
Centro Universitário das Américas;CAM;Privada com fins lucrativos;1190048;GESTÃO FINANCEIRA;A Distância;4;06/02/2017;14/10/2016;Em Atividade
FACULDADE VISCONDE DE CAIRÚ;FAVIC;Privada sem fins lucrativos;1259807;GESTÃO FINANCEIRA;Presencial;4;05/05/2015;06/05/2015;Em Atividade
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO;UNASP;Privada sem fins lucrativos;1545407;GESTÃO FINANCEIRA;A Distância;-;Não iniciado;30/08/2020;Em Atividade
CENTRO UNIVERSITÁRIO SÃO LUCAS;UniSL;Privada com fins lucrativos;1425404;GESTÃO FINANCEIRA;A Distância;-;16/07/2018;01/12/2017;Em Extinção
CENTRO UNIVERSITÁRIO INGÁ;UNINGÁ;Privada com fins lucrativos;1427726;GESTÃO FINANCEIRA;A Distância;5;03/02/2018;23/10/2017;Em Atividade
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIASSELVI;Privada com fins lucrativos;1170394;GESTÃO FINANCEIRA;A Distância;4;13/12/2010;23/07/2010;Em Atividade
CENTRO UNIVERSITÁRIO UNIDOM - BOSCO;UNIDOM - BOSCO;Privada com fins lucrativos;1166221;GESTÃO FINANCEIRA;A Distância;4;09/02/2015;08/08/2014;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;89849;GESTÃO FINANCEIRA;A Distância;-;10/02/2006;08/12/2005;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA;-;Privada com fins lucrativos;1364628;GESTÃO FINANCEIRA;A Distância;4;02/02/2016;16/12/2015;Em Atividade
CENTRO UNIVERSITÁRIO DO PLANALTO DE ARAXÁ;UNIARAXÁ;Privada sem fins lucrativos;1445591;GESTÃO FINANCEIRA;A Distância;5;19/05/2018;10/05/2018;Em Atividade
CENTRO UNIVERSITÁRIO AGES;UniAGES;Privada com fins lucrativos;1596668;GESTÃO FINANCEIRA;A Distância;-;19/11/2021;19/11/2021;Em Atividade
Centro Universitário União das Américas Descomplica;UNIAMÉRICA;Privada com fins lucrativos;1576474;GESTÃO FINANCEIRA;A Distância;-;06/09/2021;04/06/2021;Em Atividade
Centro Universitário Favip Wyden;UniFavip Wyden;Privada com fins lucrativos;1438527;GESTÃO FINANCEIRA;A Distância;5;19/02/2018;08/02/2018;Em Atividade
FACULDADE AIEC;AIEC / FAAB;Privada com fins lucrativos;1151587;GESTÃO FINANCEIRA;A Distância;-;02/01/2014;08/11/2013;Em Atividade
CENTRO UNIVERSITÁRIO DE LINS;UNILINS;Privada sem fins lucrativos;1485160;GESTÃO FINANCEIRA;A Distância;-;03/06/2019;12/04/2019;Em Atividade
CENTRO UNIVERSITÁRIO SANTA CRUZ DE CURITIBA;UNI SANTA CRUZ;Privada sem fins lucrativos;1312584;GESTÃO FINANCEIRA;A Distância;4;15/08/2018;-;Em Atividade
